Site_ID    Latitude    Longitude    Elevation_in_Meters    State    Species_ID    Genus    Species    Common_Name    Kingdom    Individual_ID    Phenophase_ID    Phenophase_Description    First_Yes_Year    First_Yes_Month    First_Yes_Day    First_Yes_DOY    First_Yes_Julian_Date    NumDays_Since_Prior_No    Last_Yes_Year    Last_Yes_Month    Last_Yes_Day    Last_Yes_DOY    Last_Yes_Julian_Date    NumDays_Until_Next_No
1836    40.579308    -85.655182    248    IN    80    Juglans    nigra    black walnut    Plantae    3627    371    Breaking leaf buds    2009    5    10    130    2454962    -9999    2009    5    11    131    2454963    -9999
1836    40.579308    -85.655182    248    IN    80    Juglans    nigra    black walnut    Plantae    3627    483    Leaves    2009    5    10    130    2454962    -9999    2009    5    11    131    2454963    -9999
1836    40.579308    -85.655182    248    IN    80    Juglans    nigra    black walnut    Plantae    3627    501    Open flowers    2009    5    10    130    2454962    -9999    2009    5    11    131    2454963    -9999
1895    42.181206    -90.260826    194    IL    80    Juglans    nigra    black walnut    Plantae    3893    180    >=75% of full leaf size (deciduous)    2009    5    29    149    2454981    7    2009    9    9    252    2455084    7
1895    42.181206    -90.260826    194    IL    80    Juglans    nigra    black walnut    Plantae    3893    183    >=50% of leaves fallen (deciduous)    2009    9    9    252    2455084    8    2009    9    24    267    2455099    15
1895    42.181206    -90.260826    194    IL    80    Juglans    nigra    black walnut    Plantae    3893    184    All leaves fallen (deciduous)    2009    10    9    282    2455114    15    2009    10    9    282    2455114    -9999
1895    42.181206    -90.260826    194    IL    80    Juglans    nigra    black walnut    Plantae    3893    186    Full flowering (50%)    2009    5    22    142    2454974    7    2009    5    22    142    2454974    7
1895    42.181206    -90.260826    194    IL    80    Juglans    nigra    black walnut    Plantae    3893    483    Leaves    2009    5    1    121    2454953    14    2009    5    22    142    2454974    7
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    180    >=75% of full leaf size (deciduous)    2010    7    22    203    2455400    102    2010    7    22    203    2455400    87
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    183    >=50% of leaves fallen (deciduous)    2010    10    17    290    2455487    87    2010    10    17    290    2455487    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    184    All leaves fallen (deciduous)    2010    10    17    290    2455487    87    2010    10    17    290    2455487    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    186    Full flowering (50%)    2010    7    22    203    2455400    102    2010    7    22    203    2455400    87
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    371    Breaking leaf buds    2010    4    7    97    2455294    72    2010    7    22    203    2455400    87
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    483    Leaves    2010    4    11    101    2455298    4    2010    7    22    203    2455400    87
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    501    Open flowers    2010    7    22    203    2455400    102    2010    7    22    203    2455400    87
1181    39.322296    -76.813957    140    MD    80    Juglans    nigra    black walnut    Plantae    1645    181    >=50% of leaves colored (deciduous)    2010    10    26    299    2455496    -9999    2010    10    26    299    2455496    -9999
1181    39.322296    -76.813957    140    MD    80    Juglans    nigra    black walnut    Plantae    1645    182    All leaves colored (deciduous)    2010    10    26    299    2455496    -9999    2010    10    26    299    2455496    -9999
1181    39.322296    -76.813957    140    MD    80    Juglans    nigra    black walnut    Plantae    1645    183    >=50% of leaves fallen (deciduous)    2010    10    26    299    2455496    -9999    2010    10    26    299    2455496    -9999
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    180    >=75% of full leaf size (deciduous)    2010    5    22    142    2455339    7    2010    5    22    142    2455339    29
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    180    >=75% of full leaf size (deciduous)    2010    9    14    257    2455454    86    2010    10    11    284    2455481    4
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    181    >=50% of leaves colored (deciduous)    2010    10    7    280    2455477    23    2010    10    15    288    2455485    2
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    182    All leaves colored (deciduous)    2010    10    11    284    2455481    4    2010    10    15    288    2455485    2
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    183    >=50% of leaves fallen (deciduous)    2010    10    7    280    2455477    23    2010    10    15    288    2455485    2
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    184    All leaves fallen (deciduous)    2010    10    17    290    2455487    2    2010    10    21    294    2455491    -9999
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    186    Full flowering (50%)    2010    6    20    171    2455368    29    2010    6    20    171    2455368    86
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    371    Breaking leaf buds    2010    4    15    105    2455302    1    2010    5    15    135    2455332    7
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    483    Leaves    2010    5    1    121    2455318    4    2010    5    22    142    2455339    29
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    501    Open flowers    2010    6    20    171    2455368    29    2010    6    20    171    2455368    86
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    180    >=75% of full leaf size (deciduous)    2010    5    29    149    2455346    15    2010    6    11    162    2455359    -9999
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    186    Full flowering (50%)    2010    5    1    121    2455318    8    2010    5    14    134    2455331    15
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    501    Open flowers    2010    4    23    113    2455310    14    2010    4    23    113    2455310    8
1464    38.971748    -77.730919    133    VA    80    Juglans    nigra    black walnut    Plantae    2462    371    Breaking leaf buds    2010    4    11    101    2455298    15    2010    4    11    101    2455298    -9999
1464    38.971748    -77.730919    133    VA    80    Juglans    nigra    black walnut    Plantae    2462    483    Leaves    2010    4    11    101    2455298    15    2010    4    11    101    2455298    -9999
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    371    Breaking leaf buds    2010    5    7    127    2455324    33    2010    5    7    127    2455324    -9999
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    483    Leaves    2010    5    7    127    2455324    33    2010    5    7    127    2455324    -9999
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    501    Open flowers    2010    5    7    127    2455324    33    2010    5    7    127    2455324    -9999
2204    40.876678    -80.06459    334    PA    80    Juglans    nigra    black walnut    Plantae    4499    371    Breaking leaf buds    2010    4    20    110    2455307    -9999    2010    4    20    110    2455307    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6033    186    Full flowering (50%)    2010    4    17    107    2455304    2    2010    5    2    122    2455319    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6033    371    Breaking leaf buds    2010    4    2    92    2455289    2    2010    5    2    122    2455319    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6033    483    Leaves    2010    4    5    95    2455292    3    2010    5    2    122    2455319    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6033    501    Open flowers    2010    4    12    102    2455299    2    2010    5    2    122    2455319    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6034    371    Breaking leaf buds    2010    4    8    98    2455295    3    2010    5    2    122    2455319    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6034    483    Leaves    2010    4    10    100    2455297    2    2010    5    2    122    2455319    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6034    501    Open flowers    2010    4    28    118    2455315    2    2010    5    2    122    2455319    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6035    186    Full flowering (50%)    2010    4    17    107    2455304    5    2010    5    2    122    2455319    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6035    371    Breaking leaf buds    2010    4    2    92    2455289    2    2010    5    2    122    2455319    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6035    483    Leaves    2010    4    5    95    2455292    3    2010    5    2    122    2455319    -9999
2551    37.227528    -80.422066    620    VA    80    Juglans    nigra    black walnut    Plantae    6035    501    Open flowers    2010    4    10    100    2455297    2    2010    5    2    122    2455319    -9999
2623    40.710339    -81.885284    329    OH    80    Juglans    nigra    black walnut    Plantae    6550    180    >=75% of full leaf size (deciduous)    2010    5    27    147    2455344    6    2010    9    12    255    2455452    25
2623    40.710339    -81.885284    329    OH    80    Juglans    nigra    black walnut    Plantae    6550    183    >=50% of leaves fallen (deciduous)    2010    10    7    280    2455477    25    2010    10    11    284    2455481    3
2623    40.710339    -81.885284    329    OH    80    Juglans    nigra    black walnut    Plantae    6550    184    All leaves fallen (deciduous)    2010    10    14    287    2455484    3    2010    10    14    287    2455484    -9999
2623    40.710339    -81.885284    329    OH    80    Juglans    nigra    black walnut    Plantae    6550    371    Breaking leaf buds    2010    5    5    125    2455322    -9999    2010    5    27    147    2455344    5
2623    40.710339    -81.885284    329    OH    80    Juglans    nigra    black walnut    Plantae    6550    483    Leaves    2010    5    5    125    2455322    -9999    2010    5    27    147    2455344    5
5858    40.576363    -105.081825    1522    CO    80    Juglans    nigra    black walnut    Plantae    14280    181    >=50% of leaves colored (deciduous)    2010    6    21    172    2455369    -9999    2010    6    21    172    2455369    -9999
5858    40.576363    -105.081825    1522    CO    80    Juglans    nigra    black walnut    Plantae    14280    182    All leaves colored (deciduous)    2010    6    21    172    2455369    -9999    2010    6    21    172    2455369    -9999
5858    40.576363    -105.081825    1522    CO    80    Juglans    nigra    black walnut    Plantae    14280    371    Breaking leaf buds    2010    6    21    172    2455369    -9999    2010    6    21    172    2455369    -9999
5858    40.576363    -105.081825    1522    CO    80    Juglans    nigra    black walnut    Plantae    14280    483    Leaves    2010    6    21    172    2455369    -9999    2010    6    21    172    2455369    -9999
714    38.793007    -78.026627    165    VA    80    Juglans    nigra    black walnut    Plantae    603    371    Breaking leaf buds    2011    4    28    118    2455680    -9999    2011    4    28    118    2455680    17
714    38.793007    -78.026627    165    VA    80    Juglans    nigra    black walnut    Plantae    603    467    Increasing leaf size    2011    4    28    118    2455680    -9999    2011    5    15    135    2455697    -9999
714    38.793007    -78.026627    165    VA    80    Juglans    nigra    black walnut    Plantae    603    483    Leaves    2011    4    28    118    2455680    -9999    2011    5    15    135    2455697    -9999
714    38.793007    -78.026627    165    VA    80    Juglans    nigra    black walnut    Plantae    603    500    Flowers or flower buds    2011    5    15    135    2455697    17    2011    5    15    135    2455697    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    371    Breaking leaf buds    2011    4    14    104    2455666    -9999    2011    6    4    155    2455717    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    390    Ripe fruits    2011    9    17    260    2455822    105    2011    9    17    260    2455822    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    467    Increasing leaf size    2011    4    14    104    2455666    -9999    2011    6    4    155    2455717    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    471    Falling leaves    2011    9    17    260    2455822    105    2011    9    17    260    2455822    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    483    Leaves    2011    4    14    104    2455666    -9999    2011    6    4    155    2455717    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    498    Colored leaves    2011    9    17    260    2455822    105    2011    9    17    260    2455822    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    500    Flowers or flower buds    2011    6    4    155    2455717    51    2011    6    4    155    2455717    105
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    501    Open flowers    2011    6    4    155    2455717    51    2011    6    4    155    2455717    105
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    504    Recent fruit or seed drop    2011    9    17    260    2455822    105    2011    9    17    260    2455822    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    516    Fruits    2011    6    4    155    2455717    51    2011    9    17    260    2455822    -9999
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    371    Breaking leaf buds    2011    5    8    128    2455690    -9999    2011    5    24    144    2455706    4
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    390    Ripe fruits    2011    8    24    236    2455798    11    2011    10    11    284    2455846    7
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    467    Increasing leaf size    2011    5    10    130    2455692    1    2011    6    5    156    2455718    1
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    471    Falling leaves    2011    9    18    261    2455823    8    2011    10    9    282    2455844    2
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    483    Leaves    2011    5    10    130    2455692    1    2011    10    11    284    2455846    7
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    498    Colored leaves    2011    9    10    253    2455815    12    2011    10    11    284    2455846    7
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    500    Flowers or flower buds    2011    5    13    133    2455695    1    2011    6    5    156    2455718    1
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    504    Recent fruit or seed drop    2011    8    29    241    2455803    5    2011    10    11    284    2455846    7
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    516    Fruits    2011    6    2    153    2455715    3    2011    10    11    284    2455846    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    371    Breaking leaf buds    2011    3    25    84    2455646    7    2011    4    8    98    2455660    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    390    Ripe fruits    2011    10    21    294    2455856    14    2011    11    11    315    2455877    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    390    Ripe fruits    2011    12    9    343    2455905    21    2011    12    16    350    2455912    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    467    Increasing leaf size    2011    4    8    98    2455660    7    2011    4    15    105    2455667    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    471    Falling leaves    2011    8    26    238    2455800    7    2011    9    30    273    2455835    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    471    Falling leaves    2011    11    11    315    2455877    14    2011    11    11    315    2455877    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    483    Leaves    2011    4    8    98    2455660    7    2011    11    11    315    2455877    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    498    Colored leaves    2011    8    19    231    2455793    21    2011    11    11    315    2455877    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    500    Flowers or flower buds    2011    4    1    91    2455653    7    2011    4    15    105    2455667    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    501    Open flowers    2011    4    1    91    2455653    7    2011    4    15    105    2455667    7
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    504    Recent fruit or seed drop    2011    5    6    126    2455688    14    2011    5    20    140    2455702    7
